Stratum	Area	Transect	Length	Distance	Cluster size
Stratum 1	100	Line 1                                            	5	7.8595	1
Stratum 1	100	Line 1                                            	5	10.2435	4
Stratum 1	100	Line 1                                            	5	12.4435	2
Stratum 1	100	Line 1                                            	5	3.76	3
Stratum 1	100	Line 1                                            	5	4.7777	7
Stratum 1	100	Line 1                                            	5	8.4531	3
Stratum 1	100	Line 1                                            	5	13.4136	2
Stratum 1	100	Line 1                                            	5	5.8039	2
Stratum 1	100	Line 1                                            	5	7.4507	5
Stratum 1	100	Line 1                                            	5	11.4513	3
Stratum 1	100	Line 1                                            	5	0.8634	4
Stratum 1	100	Line 1                                            	5	9.2329	6
Stratum 1	100	Line 1                                            	5	12.5082	4
Stratum 1	100	Line 1                                            	5	6.0755	8
Stratum 1	100	Line 2                                            	2	9.1468	1
Stratum 1	100	Line 2                                            	2	6.3828	2
Stratum 1	100	Line 2                                            	2	21.2129	3
Stratum 1	100	Line 3                                            	6	3.8497	4
Stratum 1	100	Line 3                                            	6	12.5534	4
Stratum 1	100	Line 3                                            	6	4.698	2
Stratum 1	100	Line 3                                            	6	17.8613	3
Stratum 1	100	Line 3                                            	6	14.549	1
Stratum 1	100	Line 3                                            	6	5.1069	4
Stratum 1	100	Line 3                                            	6	4.21	2
Stratum 1	100	Line 3                                            	6	3.5765	5
Stratum 1	100	Line 4                                            	4	11.1619	4
Stratum 1	100	Line 4                                            	4	12.2259	2
Stratum 1	100	Line 4                                            	4	1.8459	3
Stratum 1	100	Line 4                                            	4	35.8197	4
Stratum 1	100	Line 4                                            	4	2.6118	2
Stratum 1	100	Line 4                                            	4	6.153	4
Stratum 1	100	Line 4                                            	4	9.7359	3
Stratum 1	100	Line 4                                            	4	4.0128	2
Stratum 1	100	Line 4                                            	4	9.7292	5
Stratum 1	100	Line 5                                            	3	6.8997	3
Stratum 1	100	Line 5                                            	3	5.0962	4
Stratum 1	100	Line 5                                            	3	3.3143	3
Stratum 1	100	Line 6                                            	1	5.9724	2
Stratum 1	100	Line 6                                            	1	18.3741	2
Stratum 1	100	Line 6                                            	1	3.7718	4
Stratum 1	100	Line 6                                            	1	2.9107	3
Stratum 1	100	Line 7                                            	4	3.2504	1
Stratum 1	100	Line 7                                            	4	2.9239	2
Stratum 1	100	Line 7                                            	4	3.6915	1
Stratum 1	100	Line 7                                            	4	13.2132	3
Stratum 1	100	Line 7                                            	4	0.9887	3
Stratum 1	100	Line 7                                            	4	2.282	2
Stratum 1	100	Line 7                                            	4	13.3751	3
Stratum 1	100	Line 7                                            	4	16.231	2
Stratum 1	100	Line 7                                            	4	3.8242	3
Stratum 1	100	Line 7                                            	4	19.2765	4
Stratum 1	100	Line 7                                            	4	11.0833	3
Stratum 1	100	Line 8                                            	4	0.812	1
Stratum 1	100	Line 8                                            	4	1.488	1
Stratum 1	100	Line 8                                            	4	0.7481	1
Stratum 1	100	Line 8                                            	4	10.2063	2
Stratum 1	100	Line 8                                            	4	10.0329	2
Stratum 1	100	Line 8                                            	4	0.6194	3
Stratum 1	100	Line 8                                            	4	7.6119	3
Stratum 1	100	Line 8                                            	4	4.3652	4
Stratum 1	100	Line 9                                            	5	0.9875	2
Stratum 1	100	Line 9                                            	5	1.0004	2
Stratum 1	100	Line 9                                            	5	1.2247	4
Stratum 1	100	Line 9                                            	5	4.614	1
Stratum 1	100	Line 9                                            	5	9.2462	3
Stratum 1	100	Line 9                                            	5	15.8066	4
Stratum 1	100	Line 9                                            	5	1.9086	2
Stratum 1	100	Line 9                                            	5	3.2599	1
Stratum 1	100	Line 9                                            	5	3.7263	4
Stratum 1	100	Line 9                                            	5	5.8309	2
Stratum 1	100	Line 9                                            	5	5.8967	3
Stratum 1	100	Line 9                                            	5	4.7541	4
Stratum 1	100	Line 9                                            	5	12.3661	4
Stratum 1	100	Line 9                                            	5	7.638	3
Stratum 1	100	Line 9                                            	5	10.5899	2
Stratum 1	100	Line 9                                            	5	17.8306	8
Stratum 1	100	Line 9                                            	5	5.791	4
Stratum 1	100	Line 10                                           	7	1.51E-02	1
Stratum 1	100	Line 10                                           	7	0.5981	1
Stratum 1	100	Line 10                                           	7	2.001	3					
Stratum 1	100	Line 10                                           	7	6.9416	3					 
Stratum 1	100	Line 10                                           	7	7.2147	1					
Stratum 1	100	Line 10                                           	7	7.6602	1					
Stratum 1	100	Line 10                                           	7	10.1934	4					
Stratum 1	100	Line 10                                           	7	1.2576	2					
Stratum 1	100	Line 10                                           	7	1.7204	4					
Stratum 1	100	Line 10                                           	7	8.3923	3					
Stratum 1	100	Line 10                                           	7	13.3535	3					
Stratum 1	100	Line 10                                           	7	19.4449	2					
Stratum 1	100	Line 10                                           	7	12.7825	1					
Stratum 1	100	Line 10                                           	7	13.2445	1					
Stratum 1	100	Line 10                                           	7	6.2648	1					
Stratum 1	100	Line 10                                           	7	10.0185	3					
Stratum 1	100	Line 10                                           	7	12.3857	3					
Stratum 1	100	Line 10                                           	7	19.4607	1					
Stratum 1	100	Line 10                                           	7	1.706	3
Stratum 1	100	Line 10                                           	7	3.0799	4
Stratum 1	100	Line 10                                           	7	3.3085	3
Stratum 1	100	Line 10                                           	7	19.4181	3
Stratum 1	100	Line 10                                           	7	16.6435	4
Stratum 1	100	Line 11                                           	3		
Stratum 1	100	Line 12                                           	4	0.9703	2
Stratum 1	100	Line 12                                           	4	6.6183	3
Stratum 1	100	Line 12                                           	4	12.4475	2
Stratum 1	100	Line 12                                           	4	4.8554	2
Stratum 1	100	Line 12                                           	4	15.414	4
